"province","additional_source_id","additional_source_short","additional_source_full"
"Alberta",1,"AB1","https://www.alberta.ca/news.aspx"
"Alberta",2,"AB2","https://globalnews.ca/news/6774233/alberta-coronavirus-covid-19-update-april-3/"
"Alberta",3,"AB3","https://www.cbc.ca/news/canada/edmonton/hinshaw-gives-alberta-covid-19-update-1.5520729"
"Alberta",4,"AB4","https://calgaryherald.com/news/two-more-mckenzie-towne-residents-die-of-covid-19-as-alberta-reports-more-than-100-new-cases/"
"Alberta",5,"AB5","https://edmontonjournal.com/news/local-news/covid-19-sunday-april-5-three-deaths/"
"Alberta",6,"AB6","https://globalnews.ca/news/6791281/alberta-covid-19-coronavirus-deaths/"
"Alberta",7,"AB7","https://globalnews.ca/news/6797056/coronavirus-death-mckenzie-towne-april-8/"
"Alberta",8,"AB8","https://edmonton.ctvnews.ca/alberta-reports-3-more-deaths-28-new-cases-of-covid-19-1.4890283, https://www.youtube.com/watch?v=rpeDRZboaIQ"
"Alberta",9,"AB9","https://edmonton.ctvnews.ca/7-more-deaths-and-49-new-cases-of-covid-19-announced-in-alberta-1.4891639"
"Alberta",10,"AB10","https://edmonton.ctvnews.ca/7-more-deaths-and-49-new-cases-of-covid-19-announced-in-alberta-1.4891639?fbclid=IwAR3O8TdGJVRyKTQ3y7-DfEZf-_yiOf33-gAVRnvrfT0PGiNlnv6dMoyhTEA"
"Alberta",11,"AB11","https://globalnews.ca/news/6804999/alberta-health-covid-19-coronavirus-april-10/"
"Alberta",12,"AB12","https://globalnews.ca/news/6807827/alberta-support-covid-19-provincial/"
"Alberta",13,"AB13","https://globalnews.ca/news/6812262/alberta-health-coronavirus-covid-19-april-13/"
"Alberta",14,"AB14","https://web.archive.org/web/20200507221005/https://www.alberta.ca/covid-19-alberta-data.aspx"
"Alberta",15,"AB15","https://calgaryherald.com/news/covid-19-updates-alberta-crafting-guidelines-to-bring-nhl-playoffs-to-edmonton-montgomery-7-eleven-store-closes-after-employee-tests-positive"
"Alberta",16,"AB16","https://globalnews.ca/news/7039488/alberta-health-covid-19-hinshaw-june-8/"
"Alberta",17,"AB17","https://globalnews.ca/news/7144097/misericordia-community-hospital-outbreak-measures-july-6/"
"Alberta",18,"AB18","https://edmonton.ctvnews.ca/alberta-adds-1-death-46-new-cases-of-covid-19-on-wednesday-1.5016318"
"Alberta",19,"AB19","https://globalnews.ca/news/7170899/alberta-health-covid-19-july-13-coronavirus/"
"Alberta",20,"AB20","https://globalnews.ca/news/7190921/alberta-health-coronavirus-july-17-covid-19/"
"Alberta",21,"AB21","https://globalnews.ca/news/7198445/alberta-coronavirus-update-july-20/"
"Alberta",22,"AB22","https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-1.5659435"
"Alberta",23,"AB23","https://www.cbc.ca/news/canada/calgary/what-you-need-to-know-alberta-july-24-1.5661609"
"Alberta",24,"AB24","https://edmonton.ctvnews.ca/alberta-surpasses-200-covid-19-deaths-active-cases-decrease-1.5050624"
"Alberta",25,"AB25","https://globalnews.ca/video/7256037/alberta-identifies-56-new-covid-19-cases-2-additional-deaths/"
"Alberta",26,"AB26","https://www.660citynews.com/2020/08/11/3-deaths-85-new-covid-19-cases-in-alberta/"
"Alberta",27,"AB27","https://edmonton.ctvnews.ca/alberta-records-121-new-cases-of-covid-19-1-new-death-on-wednesday-1.5061266?cache=%3FclipId%3D68597"
"Alberta",28,"AB28","https://twitter.com/BabychStephanie/status/1295474062173417472"
"Alberta",29,"AB29","https://globalnews.ca/news/7310418/alberta-health-covid-19-september-1-coronavirus/"
"Alberta",30,"AB30","https://edmonton.ctvnews.ca/alberta-records-1-more-death-114-new-cases-of-covid-19-1.5089985"
"Alberta",31,"AB31","https://edmonton.ctvnews.ca/alberta-adds-619-cases-of-covid-19-five-deaths-since-thursday-1.5096276"
"Alberta",32,"AB32","https://calgaryherald.com/news/local-news/covid-19-update-160-new-cases-one-new-death-five-more-foothills-patients-two-visitors-test-positive-calgary-company-fined-for-selling-ppe-at-inflated-prices"
