"province","health_region","date_death_report","deaths","cumulative_deaths"
"Saskatchewan","Central","08-03-2020",0,0
"Saskatchewan","Central","09-03-2020",0,0
"Saskatchewan","Central","10-03-2020",0,0
"Saskatchewan","Central","11-03-2020",0,0
"Saskatchewan","Central","12-03-2020",0,0
"Saskatchewan","Central","13-03-2020",0,0
"Saskatchewan","Central","14-03-2020",0,0
"Saskatchewan","Central","15-03-2020",0,0
"Saskatchewan","Central","16-03-2020",0,0
"Saskatchewan","Central","17-03-2020",0,0
"Saskatchewan","Central","18-03-2020",0,0
"Saskatchewan","Central","19-03-2020",0,0
"Saskatchewan","Central","20-03-2020",0,0
"Saskatchewan","Central","21-03-2020",0,0
"Saskatchewan","Central","22-03-2020",0,0
"Saskatchewan","Central","23-03-2020",0,0
"Saskatchewan","Central","24-03-2020",0,0
"Saskatchewan","Central","25-03-2020",0,0
"Saskatchewan","Central","26-03-2020",0,0
"Saskatchewan","Central","27-03-2020",0,0
"Saskatchewan","Central","28-03-2020",0,0
"Saskatchewan","Central","29-03-2020",0,0
"Saskatchewan","Central","30-03-2020",1,1
"Saskatchewan","Central","31-03-2020",0,1
"Saskatchewan","Central","01-04-2020",0,1
"Saskatchewan","Central","02-04-2020",0,1
"Saskatchewan","Central","03-04-2020",0,1
"Saskatchewan","Central","04-04-2020",0,1
"Saskatchewan","Central","05-04-2020",0,1
"Saskatchewan","Central","06-04-2020",0,1
"Saskatchewan","Central","07-04-2020",0,1
"Saskatchewan","Central","08-04-2020",0,1
"Saskatchewan","Central","09-04-2020",0,1
"Saskatchewan","Central","10-04-2020",0,1
"Saskatchewan","Central","11-04-2020",0,1
"Saskatchewan","Central","12-04-2020",0,1
"Saskatchewan","Central","13-04-2020",0,1
"Saskatchewan","Central","14-04-2020",0,1
"Saskatchewan","Central","15-04-2020",0,1
"Saskatchewan","Central","16-04-2020",0,1
"Saskatchewan","Central","17-04-2020",0,1
"Saskatchewan","Central","18-04-2020",0,1
"Saskatchewan","Central","19-04-2020",0,1
"Saskatchewan","Central","20-04-2020",0,1
"Saskatchewan","Central","21-04-2020",0,1
"Saskatchewan","Central","22-04-2020",0,1
"Saskatchewan","Central","23-04-2020",0,1
"Saskatchewan","Central","24-04-2020",0,1
"Saskatchewan","Central","25-04-2020",0,1
"Saskatchewan","Central","26-04-2020",0,1
"Saskatchewan","Central","27-04-2020",0,1
"Saskatchewan","Central","28-04-2020",0,1
"Saskatchewan","Central","29-04-2020",0,1
"Saskatchewan","Central","30-04-2020",0,1
"Saskatchewan","Central","01-05-2020",0,1
"Saskatchewan","Central","02-05-2020",0,1
"Saskatchewan","Central","03-05-2020",0,1
"Saskatchewan","Central","04-05-2020",0,1
"Saskatchewan","Central","05-05-2020",0,1
"Saskatchewan","Central","06-05-2020",0,1
"Saskatchewan","Central","07-05-2020",0,1
"Saskatchewan","Central","08-05-2020",0,1
"Saskatchewan","Central","09-05-2020",0,1
"Saskatchewan","Central","10-05-2020",0,1
"Saskatchewan","Central","11-05-2020",0,1
"Saskatchewan","Central","12-05-2020",0,1
"Saskatchewan","Central","13-05-2020",0,1
"Saskatchewan","Central","14-05-2020",0,1
"Saskatchewan","Central","15-05-2020",0,1
"Saskatchewan","Central","16-05-2020",0,1
"Saskatchewan","Central","17-05-2020",0,1
"Saskatchewan","Central","18-05-2020",0,1
"Saskatchewan","Central","19-05-2020",0,1
"Saskatchewan","Central","20-05-2020",0,1
"Saskatchewan","Central","21-05-2020",0,1
"Saskatchewan","Central","22-05-2020",0,1
"Saskatchewan","Central","23-05-2020",0,1
"Saskatchewan","Central","24-05-2020",0,1
"Saskatchewan","Central","25-05-2020",0,1
"Saskatchewan","Central","26-05-2020",0,1
"Saskatchewan","Central","27-05-2020",0,1
"Saskatchewan","Central","28-05-2020",0,1
"Saskatchewan","Central","29-05-2020",0,1
"Saskatchewan","Central","30-05-2020",0,1
"Saskatchewan","Central","31-05-2020",0,1
"Saskatchewan","Central","01-06-2020",0,1
"Saskatchewan","Central","02-06-2020",0,1
"Saskatchewan","Central","03-06-2020",0,1
"Saskatchewan","Central","04-06-2020",0,1
"Saskatchewan","Central","05-06-2020",0,1
"Saskatchewan","Central","06-06-2020",0,1
"Saskatchewan","Central","07-06-2020",0,1
"Saskatchewan","Central","08-06-2020",0,1
"Saskatchewan","Central","09-06-2020",0,1
"Saskatchewan","Central","10-06-2020",0,1
"Saskatchewan","Central","11-06-2020",0,1
"Saskatchewan","Central","12-06-2020",0,1
"Saskatchewan","Central","13-06-2020",0,1
"Saskatchewan","Central","14-06-2020",0,1
"Saskatchewan","Central","15-06-2020",0,1
"Saskatchewan","Central","16-06-2020",0,1
"Saskatchewan","Central","17-06-2020",0,1
"Saskatchewan","Central","18-06-2020",0,1
"Saskatchewan","Central","19-06-2020",0,1
"Saskatchewan","Central","20-06-2020",0,1
"Saskatchewan","Central","21-06-2020",0,1
"Saskatchewan","Central","22-06-2020",0,1
"Saskatchewan","Central","23-06-2020",0,1
"Saskatchewan","Central","24-06-2020",0,1
"Saskatchewan","Central","25-06-2020",0,1
"Saskatchewan","Central","26-06-2020",0,1
"Saskatchewan","Central","27-06-2020",0,1
"Saskatchewan","Central","28-06-2020",0,1
"Saskatchewan","Central","29-06-2020",0,1
"Saskatchewan","Central","30-06-2020",0,1
"Saskatchewan","Central","01-07-2020",0,1
"Saskatchewan","Central","02-07-2020",0,1
"Saskatchewan","Central","03-07-2020",0,1
"Saskatchewan","Central","04-07-2020",0,1
"Saskatchewan","Central","05-07-2020",0,1
"Saskatchewan","Central","06-07-2020",0,1
"Saskatchewan","Central","07-07-2020",0,1
"Saskatchewan","Central","08-07-2020",0,1
"Saskatchewan","Central","09-07-2020",0,1
"Saskatchewan","Central","10-07-2020",0,1
"Saskatchewan","Central","11-07-2020",0,1
"Saskatchewan","Central","12-07-2020",0,1
"Saskatchewan","Central","13-07-2020",0,1
"Saskatchewan","Central","14-07-2020",0,1
"Saskatchewan","Central","15-07-2020",0,1
"Saskatchewan","Central","16-07-2020",0,1
"Saskatchewan","Central","17-07-2020",0,1
"Saskatchewan","Central","18-07-2020",0,1
"Saskatchewan","Central","19-07-2020",0,1
"Saskatchewan","Central","20-07-2020",0,1
"Saskatchewan","Central","21-07-2020",0,1
"Saskatchewan","Central","22-07-2020",0,1
"Saskatchewan","Central","23-07-2020",0,1
"Saskatchewan","Central","24-07-2020",0,1
"Saskatchewan","Central","25-07-2020",0,1
"Saskatchewan","Central","26-07-2020",0,1
"Saskatchewan","Central","27-07-2020",0,1
"Saskatchewan","Central","28-07-2020",0,1
"Saskatchewan","Central","29-07-2020",0,1
"Saskatchewan","Central","30-07-2020",0,1
"Saskatchewan","Central","31-07-2020",0,1
"Saskatchewan","Central","01-08-2020",0,1
"Saskatchewan","Central","02-08-2020",0,1
"Saskatchewan","Central","03-08-2020",0,1
"Saskatchewan","Central East","04-08-2020",0,1
"Saskatchewan","Central East","05-08-2020",0,1
