"age","age_display"
"<10","<20"
19,"<20"
"<20","<20"
"20-29","20-29"
24,"20-29"
"30-39","30-39"
"40-49","40-49"
44,"40-49"
"50-59","50-59"
51,"50-59"
55,"50-59"
59,"50-59"
"60-69","60-69"
61,"60-69"
62,"60-69"
64,"60-69"
65,"60-69"
67,"60-69"
68,"60-69"
"70-79","70-79"
70,"70-79"
71,"70-79"
76,"70-79"
78,"70-79"
79,"70-79"
"80-89","80-89"
80,"80-89"
81,"80-89"
82,"80-89"
83,"80-89"
84,"80-89"
85,"80-89"
86,"80-89"
87,"80-89"
88,"80-89"
89,"80-89"
"90-99","90-99"
90,"90-99"
91,"90-99"
92,"90-99"
93,"90-99"
94,"90-99"
95,"90-99"
96,"90-99"
97,"90-99"
"100+","100+"
">100","100+"
"100-109","100+"
"100-199","100+"
104,"100+"
"110-119","100+"
"120-129","100+"
"Not Reported","NR"
"20-39","NR"
"40-59","NR"
">50","NR"
">65","NR"
"65-79","NR"
">70","NR"
">80","NR"
"80+","NR"
