"province","date_death_report","deaths","cumulative_deaths"
"Canada","08-03-2020",1,1
"Canada","09-03-2020",0,1
"Canada","10-03-2020",0,1
"Canada","11-03-2020",1,2
"Canada","12-03-2020",0,2
"Canada","13-03-2020",0,2
"Canada","14-03-2020",0,2
"Canada","15-03-2020",0,2
"Canada","16-03-2020",3,5
"Canada","17-03-2020",3,8
"Canada","18-03-2020",1,9
"Canada","19-03-2020",3,12
"Canada","20-03-2020",1,13
"Canada","21-03-2020",5,18
"Canada","22-03-2020",3,21
"Canada","23-03-2020",3,24
"Canada","24-03-2020",3,27
"Canada","25-03-2020",8,35
"Canada","26-03-2020",4,39
"Canada","27-03-2020",16,55
"Canada","28-03-2020",6,61
"Canada","29-03-2020",5,66
"Canada","30-03-2020",24,90
"Canada","31-03-2020",36,126
"Canada","01-04-2020",-7,119
"Canada","02-04-2020",36,155
"Canada","03-04-2020",51,206
"Canada","04-04-2020",46,252
"Canada","05-04-2020",40,292
"Canada","06-04-2020",50,342
"Canada","07-04-2020",60,402
"Canada","08-04-2020",56,458
"Canada","09-04-2020",66,524
"Canada","10-04-2020",80,604
"Canada","11-04-2020",70,674
"Canada","12-04-2020",54,728
"Canada","13-04-2020",76,804
"Canada","14-04-2020",145,949
"Canada","15-04-2020",104,1053
"Canada","16-04-2020",180,1233
"Canada","17-04-2020",114,1347
"Canada","18-04-2020",163,1510
"Canada","19-04-2020",115,1625
"Canada","20-04-2020",116,1741
"Canada","21-04-2020",151,1892
"Canada","22-04-2020",166,2058
"Canada","23-04-2020",158,2216
"Canada","24-04-2020",157,2373
"Canada","25-04-2020",163,2536
"Canada","26-04-2020",117,2653
"Canada","27-04-2020",148,2801
"Canada","28-04-2020",141,2942
"Canada","29-04-2020",174,3116
"Canada","30-04-2020",146,3262
"Canada","01-05-2020",229,3491
"Canada","02-05-2020",147,3638
"Canada","03-05-2020",117,3755
"Canada","04-05-2020",208,3963
"Canada","05-05-2020",189,4152
"Canada","06-05-2020",182,4334
"Canada","07-05-2020",176,4510
"Canada","08-05-2020",151,4661
"Canada","09-05-2020",129,4790
"Canada","10-05-2020",160,4950
"Canada","11-05-2020",134,5084
"Canada","12-05-2020",184,5268
"Canada","13-05-2020",129,5397
"Canada","14-05-2020",162,5559
"Canada","15-05-2020",91,5650
"Canada","16-05-2020",118,5768
"Canada","17-05-2020",102,5870
"Canada","18-05-2020",58,5928
"Canada","19-05-2020",70,5998
"Canada","20-05-2020",124,6122
"Canada","21-05-2020",115,6237
"Canada","22-05-2020",92,6329
"Canada","23-05-2020",105,6434
"Canada","24-05-2020",67,6501
"Canada","25-05-2020",122,6623
"Canada","26-05-2020",97,6720
"Canada","27-05-2020",125,6845
"Canada","28-05-2020",106,6951
"Canada","29-05-2020",83,7034
"Canada","30-05-2020",96,7130
"Canada","31-05-2020",215,7345
"Canada","01-06-2020",29,7374
"Canada","02-06-2020",70,7444
"Canada","03-06-2020",103,7547
"Canada","04-06-2020",139,7686
"Canada","05-06-2020",61,7747
"Canada","06-06-2020",72,7819
"Canada","07-06-2020",27,7846
"Canada","08-06-2020",33,7879
"Canada","09-06-2020",59,7938
"Canada","10-06-2020",61,7999
"Canada","11-06-2020",41,8040
"Canada","12-06-2020",55,8095
"Canada","13-06-2020",57,8152
"Canada","14-06-2020",36,8188
"Canada","15-06-2020",27,8215
"Canada","16-06-2020",41,8256
"Canada","17-06-2020",36,8292
"Canada","18-06-2020",48,8340
"Canada","19-06-2020",45,8385
"Canada","20-06-2020",63,8448
"Canada","21-06-2020",13,8461
"Canada","22-06-2020",12,8473
"Canada","23-06-2020",18,8491
"Canada","24-06-2020",32,8523
"Canada","25-06-2020",22,8545
