"province","date_recovered","recovered","cumulative_recovered"
"Canada","12-02-2020",1,1
"Canada","13-02-2020",0,1
"Canada","14-02-2020",0,1
"Canada","15-02-2020",0,1
"Canada","16-02-2020",0,1
"Canada","17-02-2020",0,1
"Canada","18-02-2020",0,1
"Canada","19-02-2020",1,2
"Canada","20-02-2020",1,3
"Canada","21-02-2020",1,4
"Canada","22-02-2020",0,4
"Canada","23-02-2020",0,4
"Canada","24-02-2020",0,4
"Canada","25-02-2020",3,7
"Canada","26-02-2020",0,7
"Canada","27-02-2020",0,7
"Canada","28-02-2020",0,7
"Canada","29-02-2020",0,7
"Canada","01-03-2020",0,7
"Canada","02-03-2020",0,7
"Canada","03-03-2020",0,7
"Canada","04-03-2020",0,7
"Canada","05-03-2020",1,8
"Canada","06-03-2020",0,8
"Canada","07-03-2020",0,8
"Canada","08-03-2020",0,8
"Canada","09-03-2020",1,9
"Canada","10-03-2020",0,9
"Canada","11-03-2020",0,9
"Canada","12-03-2020",0,9
"Canada","13-03-2020",1,10
"Canada","14-03-2020",0,10
"Canada","15-03-2020",0,10
"Canada","16-03-2020",0,10
"Canada","17-03-2020",0,10
"Canada","18-03-2020",1,11
"Canada","19-03-2020",2,13
"Canada","20-03-2020",2,15
"Canada","21-03-2020",1,16
"Canada","22-03-2020",2,18
"Canada","23-03-2020",94,112
"Canada","24-03-2020",74,186
"Canada","25-03-2020",12,198
"Canada","26-03-2020",31,229
"Canada","27-03-2020",127,356
"Canada","28-03-2020",149,505
"Canada","29-03-2020",84,589
"Canada","30-03-2020",533,1122
"Canada","31-03-2020",184,1306
"Canada","01-04-2020",370,1676
"Canada","02-04-2020",305,1981
"Canada","03-04-2020",354,2335
"Canada","04-04-2020",413,2748
"Canada","05-04-2020",365,3113
"Canada","06-04-2020",516,3629
"Canada","07-04-2020",434,4063
"Canada","08-04-2020",603,4666
"Canada","09-04-2020",658,5324
"Canada","10-04-2020",702,6026
"Canada","11-04-2020",637,6663
"Canada","12-04-2020",522,7185
"Canada","13-04-2020",586,7771
"Canada","14-04-2020",477,8248
"Canada","15-04-2020",744,8992
"Canada","16-04-2020",733,9725
"Canada","17-04-2020",831,10556
"Canada","18-04-2020",664,11220
"Canada","19-04-2020",636,11856
"Canada","20-04-2020",743,12599
"Canada","21-04-2020",602,13201
"Canada","22-04-2020",798,13999
"Canada","23-04-2020",775,14774
"Canada","24-04-2020",780,15554
"Canada","25-04-2020",884,16438
"Canada","26-04-2020",896,17334
"Canada","27-04-2020",947,18281
"Canada","28-04-2020",963,19244
"Canada","29-04-2020",1096,20340
"Canada","30-04-2020",1097,21437
"Canada","01-05-2020",1327,22764
"Canada","02-05-2020",1050,23814
"Canada","03-05-2020",1107,24921
"Canada","04-05-2020",1109,26030
"Canada","05-05-2020",976,27006
"Canada","06-05-2020",1178,28184
"Canada","07-05-2020",1076,29260
"Canada","08-05-2020",979,30239
"Canada","09-05-2020",1023,31262
"Canada","10-05-2020",847,32109
"Canada","11-05-2020",898,33007
"Canada","12-05-2020",1048,34055
"Canada","13-05-2020",1122,35177
"Canada","14-05-2020",927,36104
"Canada","15-05-2020",804,36908
"Canada","16-05-2020",924,37832
"Canada","17-05-2020",731,38563
"Canada","18-05-2020",688,39251
"Canada","19-05-2020",812,40063
"Canada","20-05-2020",726,40789
"Canada","21-05-2020",939,41728
"Canada","22-05-2020",879,42607
"Canada","23-05-2020",711,43318
"Canada","24-05-2020",680,43998
"Canada","25-05-2020",653,44651
"Canada","26-05-2020",701,45352
"Canada","27-05-2020",825,46177
"Canada","28-05-2020",676,46853
"Canada","29-05-2020",680,47533
"Canada","30-05-2020",583,48116
"Canada","31-05-2020",776,48892
"Canada","01-06-2020",847,49739
"Canada","02-06-2020",618,50357
"Canada","03-06-2020",691,51048
"Canada","04-06-2020",690,51738
"Canada","05-06-2020",827,52565
"Canada","06-06-2020",1044,53609
"Canada","07-06-2020",619,54228
"Canada","08-06-2020",600,54828
"Canada","09-06-2020",739,55567
"Canada","10-06-2020",1072,56639
"Canada","11-06-2020",1019,57658
"Canada","12-06-2020",865,58523
"Canada","13-06-2020",830,59353
"Canada","14-06-2020",919,60272
"Canada","15-06-2020",770,61042
"Canada","16-06-2020",401,61443
"Canada","17-06-2020",574,62017
"Canada","18-06-2020",479,62496
"Canada","19-06-2020",507,63003
"Canada","20-06-2020",485,63488
"Canada","21-06-2020",398,63886
"Canada","22-06-2020",448,64334
"Canada","23-06-2020",370,64704
"Canada","24-06-2020",387,65091
"Canada","25-06-2020",334,65425
"Canada","26-06-2020",301,65726
"Canada","27-06-2020",247,65973
"Canada","28-06-2020",218,66191
"Canada","29-06-2020",987,67178
"Canada","30-06-2020",414,67592
"Canada","01-07-2020",152,67744
"Canada","02-07-2020",603,68347
"Canada","03-07-2020",346,68693
"Canada","04-07-2020",297,68990
"Canada","05-07-2020",249,69239
"Canada","06-07-2020",331,69570
"Canada","07-07-2020",313,69883
"Canada","08-07-2020",364,70247
"Canada","09-07-2020",327,70574
"Canada","10-07-2020",327,70901
"Canada","11-07-2020",365,71266
"Canada","12-07-2020",201,71467
"Canada","13-07-2020",374,71841
"Canada","14-07-2020",329,72170
"Canada","15-07-2020",315,72485
"Canada","16-07-2020",351,72836
"Canada","17-07-2020",23853,96689
"Canada","18-07-2020",220,96909
"Canada","19-07-2020",142,97051
"Canada","20-07-2020",423,97474
"Canada","21-07-2020",283,97757
"Canada","22-07-2020",385,98142
"Canada","23-07-2020",377,98519
"Canada","24-07-2020",354,98873
"Canada","25-07-2020",242,99115
"Canada","26-07-2020",240,99355
"Canada","27-07-2020",505,99860
"Canada","28-07-2020",274,100134
"Canada","29-07-2020",331,100465
"Canada","30-07-2020",397,100862
"Canada","31-07-2020",365,101227
"Canada","01-08-2020",209,101436
"Canada","02-08-2020",138,101574
"Canada","03-08-2020",23,101597
"Canada","04-08-2020",853,102450
"Canada","05-08-2020",338,102788
"Canada","06-08-2020",318,103106
"Canada","07-08-2020",329,103435
"Canada","08-08-2020",131,103566
"Canada","09-08-2020",162,103728
"Canada","10-08-2020",2627,106355
"Canada","11-08-2020",391,106746
"Canada","12-08-2020",402,107148
"Canada","13-08-2020",405,107553
"Canada","14-08-2020",390,107943
"Canada","15-08-2020",275,108218
