"province","date_vaccine_additionaldoses","additionaldosesvaccine","cumulative_additionaldosesvaccine"
"Canada","11-02-2021",3,3
"Canada","12-02-2021",2,5
"Canada","13-02-2021",0,5
"Canada","14-02-2021",0,5
"Canada","15-02-2021",0,5
"Canada","16-02-2021",0,5
"Canada","17-02-2021",0,5
"Canada","18-02-2021",0,5
"Canada","19-02-2021",2,7
"Canada","20-02-2021",4,11
"Canada","21-02-2021",1,12
"Canada","22-02-2021",1,13
"Canada","23-02-2021",0,13
"Canada","24-02-2021",0,13
"Canada","25-02-2021",0,13
"Canada","26-02-2021",0,13
"Canada","27-02-2021",0,13
"Canada","28-02-2021",0,13
"Canada","01-03-2021",0,13
"Canada","02-03-2021",0,13
"Canada","03-03-2021",0,13
"Canada","04-03-2021",0,13
"Canada","05-03-2021",0,13
"Canada","06-03-2021",0,13
"Canada","07-03-2021",0,13
"Canada","08-03-2021",0,13
"Canada","09-03-2021",2,15
"Canada","10-03-2021",0,15
"Canada","11-03-2021",0,15
"Canada","12-03-2021",0,15
"Canada","13-03-2021",2,17
"Canada","14-03-2021",0,17
"Canada","15-03-2021",0,17
"Canada","16-03-2021",1,18
"Canada","17-03-2021",1,19
"Canada","18-03-2021",0,19
"Canada","19-03-2021",0,19
"Canada","20-03-2021",1,20
"Canada","21-03-2021",0,20
"Canada","22-03-2021",0,20
"Canada","23-03-2021",1,21
"Canada","24-03-2021",1,22
"Canada","25-03-2021",0,22
"Canada","26-03-2021",0,22
"Canada","27-03-2021",1,23
"Canada","28-03-2021",0,23
"Canada","29-03-2021",0,23
"Canada","30-03-2021",0,23
"Canada","31-03-2021",0,23
"Canada","01-04-2021",1,24
"Canada","02-04-2021",0,24
"Canada","03-04-2021",2,26
"Canada","04-04-2021",1,27
"Canada","05-04-2021",0,27
"Canada","06-04-2021",1,28
"Canada","07-04-2021",0,28
"Canada","08-04-2021",0,28
"Canada","09-04-2021",0,28
"Canada","10-04-2021",0,28
"Canada","11-04-2021",1,29
"Canada","12-04-2021",1,30
"Canada","13-04-2021",1,31
"Canada","14-04-2021",0,31
"Canada","15-04-2021",0,31
"Canada","16-04-2021",2,33
"Canada","17-04-2021",0,33
"Canada","18-04-2021",1,34
"Canada","19-04-2021",2,36
"Canada","20-04-2021",1,37
"Canada","21-04-2021",3,40
"Canada","22-04-2021",2,42
"Canada","23-04-2021",6,48
"Canada","24-04-2021",2,50
"Canada","25-04-2021",1,51
"Canada","26-04-2021",3,54
"Canada","27-04-2021",3,57
"Canada","28-04-2021",4,61
"Canada","29-04-2021",2,63
"Canada","30-04-2021",3,66
"Canada","01-05-2021",6,72
"Canada","02-05-2021",4,76
"Canada","03-05-2021",2,78
"Canada","04-05-2021",6,84
"Canada","05-05-2021",5,89
"Canada","06-05-2021",7,96
"Canada","07-05-2021",8,104
"Canada","08-05-2021",2,106
"Canada","09-05-2021",4,110
"Canada","10-05-2021",1,111
"Canada","11-05-2021",5,116
"Canada","12-05-2021",2,118
"Canada","13-05-2021",4,122
"Canada","14-05-2021",3,125
"Canada","15-05-2021",9,134
"Canada","16-05-2021",0,134
"Canada","17-05-2021",2,136
"Canada","18-05-2021",5,141
"Canada","19-05-2021",5,146
"Canada","20-05-2021",7,153
"Canada","21-05-2021",12,165
