"province","health_region","date_report","cases","cumulative_cases"
"Alberta","Calgary","25-01-2020",0,0
"Alberta","Calgary","26-01-2020",0,0
"Alberta","Calgary","27-01-2020",0,0
"Alberta","Calgary","28-01-2020",0,0
"Alberta","Calgary","29-01-2020",0,0
"Alberta","Calgary","30-01-2020",0,0
"Alberta","Calgary","31-01-2020",0,0
"Alberta","Calgary","01-02-2020",0,0
"Alberta","Calgary","02-02-2020",0,0
"Alberta","Calgary","03-02-2020",0,0
"Alberta","Calgary","04-02-2020",0,0
"Alberta","Calgary","05-02-2020",0,0
"Alberta","Calgary","06-02-2020",0,0
"Alberta","Calgary","07-02-2020",0,0
"Alberta","Calgary","08-02-2020",0,0
"Alberta","Calgary","09-02-2020",0,0
"Alberta","Calgary","10-02-2020",0,0
"Alberta","Calgary","11-02-2020",0,0
"Alberta","Calgary","12-02-2020",0,0
"Alberta","Calgary","13-02-2020",0,0
"Alberta","Calgary","14-02-2020",0,0
"Alberta","Calgary","15-02-2020",0,0
"Alberta","Calgary","16-02-2020",0,0
"Alberta","Calgary","17-02-2020",0,0
"Alberta","Calgary","18-02-2020",0,0
"Alberta","Calgary","19-02-2020",0,0
"Alberta","Calgary","20-02-2020",0,0
"Alberta","Calgary","21-02-2020",0,0
"Alberta","Calgary","22-02-2020",0,0
"Alberta","Calgary","23-02-2020",0,0
"Alberta","Calgary","24-02-2020",0,0
"Alberta","Calgary","25-02-2020",0,0
"Alberta","Calgary","26-02-2020",0,0
"Alberta","Calgary","27-02-2020",0,0
"Alberta","Calgary","28-02-2020",0,0
"Alberta","Calgary","29-02-2020",0,0
"Alberta","Calgary","01-03-2020",0,0
"Alberta","Calgary","02-03-2020",0,0
"Alberta","Calgary","03-03-2020",0,0
"Alberta","Calgary","04-03-2020",0,0
"Alberta","Calgary","05-03-2020",1,1
"Alberta","Calgary","06-03-2020",0,1
"Alberta","Calgary","07-03-2020",0,1
"Alberta","Calgary","08-03-2020",1,2
"Alberta","Calgary","09-03-2020",6,8
"Alberta","Calgary","10-03-2020",0,8
"Alberta","Calgary","11-03-2020",3,11
"Alberta","Calgary","12-03-2020",4,15
"Alberta","Calgary","13-03-2020",5,20
"Alberta","Calgary","14-03-2020",6,26
"Alberta","Calgary","15-03-2020",14,40
"Alberta","Calgary","16-03-2020",12,52
"Alberta","Calgary","17-03-2020",18,70
"Alberta","Calgary","18-03-2020",13,83
"Alberta","Calgary","19-03-2020",18,101
"Alberta","Calgary","20-03-2020",25,126
"Alberta","Calgary","21-03-2020",13,139
"Alberta","Calgary","22-03-2020",25,164
"Alberta","Calgary","23-03-2020",25,189
"Alberta","Calgary","24-03-2020",27,216
"Alberta","Calgary","25-03-2020",35,251
"Alberta","Calgary","26-03-2020",49,300
"Alberta","Calgary","27-03-2020",37,337
"Alberta","Calgary","28-03-2020",42,379
"Alberta","Calgary","29-03-2020",30,409
"Alberta","Calgary","30-03-2020",14,423
"Alberta","Calgary","31-03-2020",31,454
"Alberta","Calgary","01-04-2020",76,530
"Alberta","Calgary","02-04-2020",61,591
"Alberta","Calgary","03-04-2020",84,675
"Alberta","Calgary","04-04-2020",62,737
"Alberta","Calgary","05-04-2020",38,775
"Alberta","Calgary","06-04-2020",43,818
"Alberta","Calgary","07-04-2020",17,835
"Alberta","Calgary","08-04-2020",25,860
"Alberta","Calgary","09-04-2020",18,878
"Alberta","Calgary","10-04-2020",39,917
"Alberta","Calgary","11-04-2020",59,976
"Alberta","Calgary","12-04-2020",70,1046
"Alberta","Calgary","13-04-2020",68,1114
"Alberta","Calgary","14-04-2020",128,1242
"Alberta","Calgary","15-04-2020",94,1336
"Alberta","Calgary","16-04-2020",131,1467
"Alberta","Calgary","17-04-2020",207,1674
"Alberta","Calgary","18-04-2020",146,1820
"Alberta","Central","25-01-2020",0,0
"Alberta","Central","26-01-2020",0,0
"Alberta","Central","27-01-2020",0,0
"Alberta","Central","28-01-2020",0,0
"Alberta","Central","29-01-2020",0,0
"Alberta","Central","30-01-2020",0,0
"Alberta","Central","31-01-2020",0,0
"Alberta","Central","01-02-2020",0,0
"Alberta","Central","02-02-2020",0,0
"Alberta","Central","03-02-2020",0,0
"Alberta","Central","04-02-2020",0,0
"Alberta","Central","05-02-2020",0,0
"Alberta","Central","06-02-2020",0,0
"Alberta","Central","07-02-2020",0,0
"Alberta","Central","08-02-2020",0,0
"Alberta","Central","09-02-2020",0,0
"Alberta","Central","10-02-2020",0,0
"Alberta","Central","11-02-2020",0,0
"Alberta","Central","12-02-2020",0,0
"Alberta","Central","13-02-2020",0,0
"Alberta","Central","14-02-2020",0,0
"Alberta","Central","15-02-2020",0,0
"Alberta","Central","16-02-2020",0,0
"Alberta","Central","17-02-2020",0,0
"Alberta","Central","18-02-2020",0,0
"Alberta","Central","19-02-2020",0,0
"Alberta","Central","20-02-2020",0,0
"Alberta","Central","21-02-2020",0,0
"Alberta","Central","22-02-2020",0,0
"Alberta","Central","23-02-2020",0,0
"Alberta","Central","24-02-2020",0,0
"Alberta","Central","25-02-2020",0,0
"Alberta","Central","26-02-2020",0,0
"Alberta","Central","27-02-2020",0,0
"Alberta","Central","28-02-2020",0,0
"Alberta","Central","29-02-2020",0,0
"Alberta","Central","01-03-2020",0,0
"Alberta","Central","02-03-2020",0,0
"Alberta","Central","03-03-2020",0,0
"Alberta","Central","04-03-2020",0,0
"Alberta","Central","05-03-2020",0,0
"Alberta","Central","06-03-2020",0,0
"Alberta","Central","07-03-2020",0,0
"Alberta","Central","08-03-2020",0,0
"Alberta","Central","09-03-2020",0,0
"Alberta","Central","10-03-2020",0,0
"Alberta","Central","11-03-2020",1,1
"Alberta","Central","12-03-2020",0,1
"Alberta","Central","13-03-2020",0,1
"Alberta","Central","14-03-2020",0,1
"Alberta","Central","15-03-2020",0,1
"Alberta","Central","16-03-2020",1,2
"Alberta","Central","17-03-2020",1,3
"Alberta","Central","18-03-2020",0,3
"Alberta","Central","19-03-2020",0,3
"Alberta","Central","20-03-2020",1,4
"Alberta","Central","21-03-2020",3,7
"Alberta","Central","22-03-2020",3,10
"Alberta","Central","23-03-2020",7,17
"Alberta","Central","24-03-2020",11,28
"Alberta","Central","25-03-2020",7,35
"Alberta","Central","26-03-2020",2,37
"Alberta","Central","27-03-2020",6,43
"Alberta","Central","28-03-2020",3,46
"Alberta","Central","29-03-2020",0,46
"Alberta","Central","30-03-2020",0,46
"Alberta","Central","31-03-2020",5,51
"Alberta","Central","01-04-2020",6,57
"Alberta","Central","02-04-2020",2,59
"Alberta","Central","03-04-2020",3,62
"Alberta","Central","04-04-2020",3,65
"Alberta","Central","05-04-2020",1,66
"Alberta","Central","06-04-2020",0,66
"Alberta","Central","07-04-2020",0,66
"Alberta","Central","08-04-2020",6,72
"Alberta","Central","09-04-2020",0,72
"Alberta","Central","10-04-2020",0,72
"Alberta","Central","11-04-2020",0,72
"Alberta","Central","12-04-2020",0,72
"Alberta","Central","13-04-2020",2,74
"Alberta","Central","14-04-2020",0,74
"Alberta","Central","15-04-2020",1,75
"Alberta","Central","16-04-2020",0,75
"Alberta","Central","17-04-2020",1,76
"Alberta","Central","18-04-2020",0,76
"Alberta","Edmonton","25-01-2020",0,0
"Alberta","Edmonton","26-01-2020",0,0
"Alberta","Edmonton","27-01-2020",0,0
"Alberta","Edmonton","28-01-2020",0,0
"Alberta","Edmonton","29-01-2020",0,0
"Alberta","Edmonton","30-01-2020",0,0
"Alberta","Edmonton","31-01-2020",0,0
"Alberta","Edmonton","01-02-2020",0,0
"Alberta","Edmonton","02-02-2020",0,0
"Alberta","Edmonton","03-02-2020",0,0
"Alberta","Edmonton","04-02-2020",0,0
"Alberta","Edmonton","05-02-2020",0,0
"Alberta","Edmonton","06-02-2020",0,0
"Alberta","Edmonton","07-02-2020",0,0
"Alberta","Edmonton","08-02-2020",0,0
"Alberta","Edmonton","09-02-2020",0,0
"Alberta","Edmonton","10-02-2020",0,0
"Alberta","Edmonton","11-02-2020",0,0
"Alberta","Edmonton","12-02-2020",0,0
"Alberta","Edmonton","13-02-2020",0,0
"Alberta","Edmonton","14-02-2020",0,0
"Alberta","Edmonton","15-02-2020",0,0
"Alberta","Edmonton","16-02-2020",0,0
"Alberta","Edmonton","17-02-2020",0,0
"Alberta","Edmonton","18-02-2020",0,0
"Alberta","Edmonton","19-02-2020",0,0
"Alberta","Edmonton","20-02-2020",0,0
"Alberta","Edmonton","21-02-2020",0,0
"Alberta","Edmonton","22-02-2020",0,0
"Alberta","Edmonton","23-02-2020",0,0
"Alberta","Edmonton","24-02-2020",0,0
"Alberta","Edmonton","25-02-2020",0,0
"Alberta","Edmonton","26-02-2020",0,0
"Alberta","Edmonton","27-02-2020",0,0
"Alberta","Edmonton","28-02-2020",0,0
"Alberta","Edmonton","29-02-2020",0,0
"Alberta","Edmonton","01-03-2020",0,0
"Alberta","Edmonton","02-03-2020",0,0
"Alberta","Edmonton","03-03-2020",0,0
"Alberta","Edmonton","04-03-2020",0,0
"Alberta","Edmonton","05-03-2020",0,0
"Alberta","Edmonton","06-03-2020",1,1
"Alberta","Edmonton","07-03-2020",0,1
"Alberta","Edmonton","08-03-2020",1,2
"Alberta","Edmonton","09-03-2020",4,6
"Alberta","Edmonton","10-03-2020",0,6
"Alberta","Edmonton","11-03-2020",1,7
"Alberta","Edmonton","12-03-2020",0,7
"Alberta","Edmonton","13-03-2020",1,8
"Alberta","Edmonton","14-03-2020",4,12
"Alberta","Edmonton","15-03-2020",3,15
"Alberta","Edmonton","16-03-2020",3,18
"Alberta","Edmonton","17-03-2020",2,20
"Alberta","Edmonton","18-03-2020",7,27
"Alberta","Edmonton","19-03-2020",2,29
"Alberta","Edmonton","20-03-2020",14,43
"Alberta","Edmonton","21-03-2020",14,57
"Alberta","Edmonton","22-03-2020",3,60
"Alberta","Edmonton","23-03-2020",8,68
"Alberta","Edmonton","24-03-2020",18,86
"Alberta","Edmonton","25-03-2020",14,100
"Alberta","Edmonton","26-03-2020",11,111
"Alberta","Edmonton","27-03-2020",9,120
"Alberta","Edmonton","28-03-2020",21,141
"Alberta","Edmonton","29-03-2020",8,149
"Alberta","Edmonton","30-03-2020",15,164
"Alberta","Edmonton","31-03-2020",23,187
"Alberta","Edmonton","01-04-2020",32,219
"Alberta","Edmonton","02-04-2020",28,247
"Alberta","Edmonton","03-04-2020",16,263
"Alberta","Edmonton","04-04-2020",28,291
"Alberta","Edmonton","05-04-2020",19,310
"Alberta","Edmonton","06-04-2020",41,351
"Alberta","Edmonton","07-04-2020",7,358
"Alberta","Edmonton","08-04-2020",10,368
"Alberta","Edmonton","09-04-2020",8,376
"Alberta","Edmonton","10-04-2020",10,386
"Alberta","Edmonton","11-04-2020",2,388
"Alberta","Edmonton","12-04-2020",7,395
"Alberta","Edmonton","13-04-2020",4,399
"Alberta","Edmonton","14-04-2020",3,402
"Alberta","Edmonton","15-04-2020",9,411
"Alberta","Edmonton","16-04-2020",9,420
"Alberta","Edmonton","17-04-2020",9,429
"Alberta","Edmonton","18-04-2020",4,433
"Alberta","North","25-01-2020",0,0
"Alberta","North","26-01-2020",0,0
"Alberta","North","27-01-2020",0,0
