"province","health_region","date_death_report","deaths","cumulative_deaths"
"Alberta","Calgary","08-03-2020",0,0
"Alberta","Calgary","09-03-2020",0,0
"Alberta","Calgary","10-03-2020",0,0
"Alberta","Calgary","11-03-2020",0,0
"Alberta","Calgary","12-03-2020",0,0
"Alberta","Calgary","13-03-2020",0,0
"Alberta","Calgary","14-03-2020",0,0
"Alberta","Calgary","15-03-2020",0,0
"Alberta","Calgary","16-03-2020",0,0
"Alberta","Calgary","17-03-2020",0,0
"Alberta","Calgary","18-03-2020",0,0
"Alberta","Calgary","19-03-2020",0,0
"Alberta","Calgary","20-03-2020",0,0
"Alberta","Calgary","21-03-2020",0,0
"Alberta","Calgary","22-03-2020",0,0
"Alberta","Calgary","23-03-2020",0,0
"Alberta","Calgary","24-03-2020",1,1
"Alberta","Calgary","25-03-2020",0,1
"Alberta","Calgary","26-03-2020",0,1
"Alberta","Calgary","27-03-2020",0,1
"Alberta","Calgary","28-03-2020",0,1
"Alberta","Calgary","29-03-2020",1,2
"Alberta","Calgary","30-03-2020",2,4
"Alberta","Calgary","31-03-2020",1,5
"Alberta","Calgary","01-04-2020",1,6
"Alberta","Calgary","02-04-2020",1,7
"Alberta","Calgary","03-04-2020",4,11
"Alberta","Calgary","04-04-2020",2,13
"Alberta","Calgary","05-04-2020",1,14
"Alberta","Calgary","06-04-2020",1,15
"Alberta","Calgary","07-04-2020",2,17
"Alberta","Calgary","08-04-2020",3,20
"Alberta","Calgary","09-04-2020",2,22
"Alberta","Calgary","10-04-2020",4,26
"Alberta","Calgary","11-04-2020",1,27
"Alberta","Calgary","12-04-2020",3,30
"Alberta","Calgary","13-04-2020",2,32
"Alberta","Calgary","14-04-2020",1,33
"Alberta","Calgary","15-04-2020",0,33
"Alberta","Calgary","16-04-2020",1,34
"Alberta","Calgary","17-04-2020",0,34
"Alberta","Calgary","18-04-2020",1,35
"Alberta","Calgary","19-04-2020",3,38
"Alberta","Calgary","20-04-2020",2,40
"Alberta","Calgary","21-04-2020",1,41
"Alberta","Calgary","22-04-2020",1,42
"Alberta","Calgary","23-04-2020",0,42
"Alberta","Calgary","24-04-2020",3,45
"Alberta","Calgary","25-04-2020",1,46
"Alberta","Calgary","26-04-2020",0,46
"Alberta","Calgary","27-04-2020",2,48
"Alberta","Calgary","28-04-2020",2,50
"Alberta","Calgary","29-04-2020",7,57
"Alberta","Calgary","30-04-2020",0,57
"Alberta","Calgary","01-05-2020",2,59
"Alberta","Calgary","02-05-2020",2,61
"Alberta","Calgary","03-05-2020",1,62
"Alberta","Central","08-03-2020",0,0
"Alberta","Central","09-03-2020",0,0
"Alberta","Central","10-03-2020",0,0
"Alberta","Central","11-03-2020",0,0
"Alberta","Central","12-03-2020",0,0
"Alberta","Central","13-03-2020",0,0
"Alberta","Central","14-03-2020",0,0
"Alberta","Central","15-03-2020",0,0
"Alberta","Central","16-03-2020",0,0
"Alberta","Central","17-03-2020",0,0
"Alberta","Central","18-03-2020",0,0
"Alberta","Central","19-03-2020",0,0
"Alberta","Central","20-03-2020",0,0
"Alberta","Central","21-03-2020",0,0
"Alberta","Central","22-03-2020",0,0
"Alberta","Central","23-03-2020",0,0
"Alberta","Central","24-03-2020",0,0
"Alberta","Central","25-03-2020",0,0
"Alberta","Central","26-03-2020",0,0
"Alberta","Central","27-03-2020",0,0
"Alberta","Central","28-03-2020",0,0
"Alberta","Central","29-03-2020",0,0
"Alberta","Central","30-03-2020",0,0
"Alberta","Central","31-03-2020",0,0
"Alberta","Central","01-04-2020",0,0
"Alberta","Central","02-04-2020",0,0
"Alberta","Central","03-04-2020",0,0
"Alberta","Central","04-04-2020",0,0
"Alberta","Central","05-04-2020",1,1
"Alberta","Central","06-04-2020",0,1
"Alberta","Central","07-04-2020",0,1
"Alberta","Central","08-04-2020",0,1
"Alberta","Central","09-04-2020",0,1
"Alberta","Central","10-04-2020",0,1
"Alberta","Central","11-04-2020",0,1
"Alberta","Central","12-04-2020",0,1
"Alberta","Central","13-04-2020",0,1
"Alberta","Central","14-04-2020",0,1
"Alberta","Central","15-04-2020",0,1
"Alberta","Central","16-04-2020",0,1
"Alberta","Central","17-04-2020",0,1
"Alberta","Central","18-04-2020",0,1
"Alberta","Central","19-04-2020",0,1
"Alberta","Central","20-04-2020",0,1
"Alberta","Central","21-04-2020",0,1
"Alberta","Central","22-04-2020",0,1
"Alberta","Central","23-04-2020",0,1
"Alberta","Central","24-04-2020",0,1
"Alberta","Central","25-04-2020",0,1
"Alberta","Central","26-04-2020",0,1
"Alberta","Central","27-04-2020",0,1
"Alberta","Central","28-04-2020",0,1
"Alberta","Central","29-04-2020",0,1
"Alberta","Central","30-04-2020",0,1
"Alberta","Central","01-05-2020",0,1
"Alberta","Central","02-05-2020",0,1
"Alberta","Central","03-05-2020",0,1
"Alberta","Edmonton","08-03-2020",0,0
"Alberta","Edmonton","09-03-2020",0,0
"Alberta","Edmonton","10-03-2020",0,0
"Alberta","Edmonton","11-03-2020",0,0
"Alberta","Edmonton","12-03-2020",0,0
"Alberta","Edmonton","13-03-2020",0,0
"Alberta","Edmonton","14-03-2020",0,0
"Alberta","Edmonton","15-03-2020",0,0
"Alberta","Edmonton","16-03-2020",0,0
"Alberta","Edmonton","17-03-2020",0,0
"Alberta","Edmonton","18-03-2020",0,0
"Alberta","Edmonton","19-03-2020",1,1
"Alberta","Edmonton","20-03-2020",0,1
"Alberta","Edmonton","21-03-2020",0,1
"Alberta","Edmonton","22-03-2020",0,1
"Alberta","Edmonton","23-03-2020",0,1
"Alberta","Edmonton","24-03-2020",0,1
"Alberta","Edmonton","25-03-2020",0,1
"Alberta","Edmonton","26-03-2020",0,1
"Alberta","Edmonton","27-03-2020",0,1
"Alberta","Edmonton","28-03-2020",0,1
"Alberta","Edmonton","29-03-2020",0,1
"Alberta","Edmonton","30-03-2020",2,3
"Alberta","Edmonton","31-03-2020",0,3
"Alberta","Edmonton","01-04-2020",0,3
"Alberta","Edmonton","02-04-2020",0,3
"Alberta","Edmonton","03-04-2020",1,4
"Alberta","Edmonton","04-04-2020",0,4
"Alberta","Edmonton","05-04-2020",0,4
"Alberta","Edmonton","06-04-2020",0,4
"Alberta","Edmonton","07-04-2020",0,4
"Alberta","Edmonton","08-04-2020",0,4
"Alberta","Edmonton","09-04-2020",1,5
"Alberta","Edmonton","10-04-2020",2,7
"Alberta","Edmonton","11-04-2020",0,7
"Alberta","Edmonton","12-04-2020",0,7
"Alberta","Edmonton","13-04-2020",0,7
"Alberta","Edmonton","14-04-2020",1,8
"Alberta","Edmonton","15-04-2020",0,8
"Alberta","Edmonton","16-04-2020",0,8
"Alberta","Edmonton","17-04-2020",0,8
"Alberta","Edmonton","18-04-2020",0,8
