"province","health_region","date_report","cases","cumulative_cases"
"Alberta","Calgary","04-08-2020",102,6611
"Alberta","Calgary","05-08-2020",30,6641
"Alberta","Calgary","06-08-2020",14,6655
"Alberta","Calgary","07-08-2020",35,6690
"Alberta","Calgary","08-08-2020",0,6690
"Alberta","Calgary","09-08-2020",0,6690
"Alberta","Calgary","10-08-2020",86,6776
"Alberta","Calgary","11-08-2020",10,6786
"Alberta","Calgary","12-08-2020",13,6799
"Alberta","Calgary","13-08-2020",34,6833
"Alberta","Calgary","14-08-2020",20,6853
"Alberta","Calgary","15-08-2020",0,6853
"Alberta","Calgary","16-08-2020",0,6853
"Alberta","Calgary","17-08-2020",64,6917
"Alberta","Calgary","18-08-2020",17,6934
"Alberta","Calgary","19-08-2020",21,6955
"Alberta","Calgary","20-08-2020",33,6988
"Alberta","Calgary","21-08-2020",38,7026
"Alberta","Calgary","22-08-2020",0,7026
"Alberta","Calgary","23-08-2020",0,7026
"Alberta","Calgary","24-08-2020",112,7138
"Alberta","Calgary","25-08-2020",18,7156
"Alberta","Calgary","26-08-2020",49,7205
"Alberta","Calgary","27-08-2020",38,7243
"Alberta","Calgary","28-08-2020",95,7338
"Alberta","Calgary","29-08-2020",0,7338
"Alberta","Calgary","30-08-2020",0,7338
"Alberta","Calgary","31-08-2020",187,7525
"Alberta","Calgary","01-09-2020",71,7596
"Alberta","Calgary","02-09-2020",33,7629
"Alberta","Calgary","03-09-2020",50,7679
"Alberta","Calgary","04-09-2020",53,7732
"Alberta","Calgary","05-09-2020",0,7732
"Alberta","Calgary","06-09-2020",0,7732
"Alberta","Calgary","07-09-2020",0,7732
"Alberta","Calgary","08-09-2020",212,7944
"Alberta","Calgary","09-09-2020",22,7966
"Alberta","Calgary","10-09-2020",23,7989
"Alberta","Calgary","11-09-2020",31,8020
"Alberta","Calgary","12-09-2020",0,8020
"Alberta","Calgary","13-09-2020",0,8020
"Alberta","Calgary","14-09-2020",147,8167
"Alberta","Calgary","15-09-2020",35,8202
"Alberta","Calgary","16-09-2020",41,8243
"Alberta","Calgary","17-09-2020",32,8275
"Alberta","Calgary","18-09-2020",40,8315
"Alberta","Calgary","19-09-2020",0,8315
"Alberta","Calgary","20-09-2020",0,8315
"Alberta","Calgary","21-09-2020",106,8421
"Alberta","Calgary","22-09-2020",39,8460
"Alberta","Calgary","23-09-2020",53,8513
"Alberta","Calgary","24-09-2020",63,8576
"Alberta","Calgary","25-09-2020",61,8637
"Alberta","Calgary","26-09-2020",0,8637
"Alberta","Calgary","27-09-2020",0,8637
"Alberta","Calgary","28-09-2020",144,8781
"Alberta","Calgary","29-09-2020",64,8845
"Alberta","Calgary","30-09-2020",64,8909
"Alberta","Calgary","01-10-2020",42,8951
"Alberta","Calgary","02-10-2020",22,8973
"Alberta","Calgary","03-10-2020",0,8973
"Alberta","Calgary","04-10-2020",0,8973
"Alberta","Calgary","05-10-2020",172,9145
"Alberta","Calgary","06-10-2020",78,9223
"Alberta","Calgary","07-10-2020",30,9253
"Alberta","Calgary","08-10-2020",50,9303
"Alberta","Calgary","09-10-2020",82,9385
"Alberta","Calgary","10-10-2020",0,9385
"Alberta","Calgary","11-10-2020",0,9385
"Alberta","Calgary","12-10-2020",0,9385
"Alberta","Calgary","13-10-2020",292,9677
"Alberta","Calgary","14-10-2020",74,9751
"Alberta","Calgary","15-10-2020",79,9830
"Alberta","Calgary","16-10-2020",94,9924
"Alberta","Calgary","17-10-2020",0,9924
"Alberta","Calgary","18-10-2020",0,9924
"Alberta","Calgary","19-10-2020",331,10255
"Alberta","Calgary","20-10-2020",124,10379
"Alberta","Calgary","21-10-2020",187,10566
"Alberta","Calgary","22-10-2020",157,10723
"Alberta","Calgary","23-10-2020",148,10871
"Alberta","Calgary","24-10-2020",0,10871
"Alberta","Calgary","25-10-2020",0,10871
"Alberta","Calgary","26-10-2020",474,11345
"Alberta","Calgary","27-10-2020",209,11554
"Alberta","Calgary","28-10-2020",213,11767
"Alberta","Calgary","29-10-2020",212,11979
"Alberta","Calgary","30-10-2020",278,12257
"Alberta","Calgary","31-10-2020",0,12257
"Alberta","Calgary","01-11-2020",0,12257
"Alberta","Calgary","02-11-2020",0,12257
"Alberta","Calgary","03-11-2020",943,13200
"Alberta","Calgary","04-11-2020",211,13411
"Alberta","Calgary","05-11-2020",0,13411
"Alberta","Calgary","06-11-2020",593,14004
"Alberta","Calgary","07-11-2020",0,14004
"Alberta","Calgary","08-11-2020",0,14004
"Alberta","Calgary","09-11-2020",908,14912
"Alberta","Calgary","10-11-2020",309,15221
"Alberta","Calgary","11-11-2020",0,15221
"Alberta","Calgary","12-11-2020",614,15835
"Alberta","Calgary","13-11-2020",337,16172
"Alberta","Calgary","14-11-2020",0,16172
"Alberta","Calgary","15-11-2020",0,16172
"Alberta","Calgary","16-11-2020",1226,17398
"Alberta","Calgary","17-11-2020",354,17752
"Alberta","Calgary","18-11-2020",298,18050
"Alberta","Calgary","19-11-2020",350,18400
"Alberta","Calgary","20-11-2020",401,18801
"Alberta","Calgary","21-11-2020",435,19236
"Alberta","Calgary","22-11-2020",483,19719
"Alberta","Calgary","23-11-2020",464,20183
"Alberta","Calgary","24-11-2020",426,20609
"Alberta","Calgary","25-11-2020",447,21056
"Alberta","Calgary","26-11-2020",418,21474
"Alberta","Calgary","27-11-2020",415,21889
"Alberta","Calgary","28-11-2020",655,22544
"Alberta","Calgary","29-11-2020",646,23190
"Alberta","Calgary","30-11-2020",739,23929
"Alberta","Calgary","01-12-2020",431,24360
"Alberta","Calgary","02-12-2020",623,24983
"Alberta","Calgary","03-12-2020",608,25591
"Alberta","Calgary","04-12-2020",680,26271
"Alberta","Calgary","05-12-2020",749,27020
"Alberta","Calgary","06-12-2020",759,27779
"Alberta","Calgary","07-12-2020",584,28363
"Alberta","Calgary","08-12-2020",583,28946
"Alberta","Calgary","09-12-2020",548,29494
"Alberta","Calgary","10-12-2020",371,29865
"Alberta","Calgary","11-12-2020",497,30362
"Alberta","Calgary","12-12-2020",563,30925
"Alberta","Calgary","13-12-2020",619,31544
"Alberta","Calgary","14-12-2020",633,32177
"Alberta","Calgary","15-12-2020",502,32679
"Alberta","Calgary","16-12-2020",452,33131
"Alberta","Calgary","17-12-2020",552,33683
"Alberta","Calgary","18-12-2020",546,34229
"Alberta","Calgary","19-12-2020",557,34786
"Alberta","Calgary","20-12-2020",456,35242
"Alberta","Calgary","21-12-2020",445,35687
"Alberta","Calgary","22-12-2020",363,36050
"Alberta","Calgary","23-12-2020",425,36475
"Alberta","Calgary","24-12-2020",0,36475
"Alberta","Calgary","25-12-2020",0,36475
"Alberta","Calgary","26-12-2020",0,36475
"Alberta","Calgary","27-12-2020",0,36475
"Alberta","Calgary","28-12-2020",1419,37894
"Alberta","Central","04-08-2020",28,481
"Alberta","Central","05-08-2020",1,482
"Alberta","Central","06-08-2020",4,486
"Alberta","Central","07-08-2020",41,527
"Alberta","Central","08-08-2020",0,527
"Alberta","Central","09-08-2020",0,527
"Alberta","Central","10-08-2020",15,542
"Alberta","Central","11-08-2020",3,545
"Alberta","Central","12-08-2020",0,545
"Alberta","Central","13-08-2020",0,545
"Alberta","Central","14-08-2020",1,546
"Alberta","Central","15-08-2020",0,546
"Alberta","Central","16-08-2020",0,546
"Alberta","Central","17-08-2020",14,560
"Alberta","Central","18-08-2020",3,563
"Alberta","Central","19-08-2020",1,564
"Alberta","Central","20-08-2020",1,565
"Alberta","Central","21-08-2020",2,567
"Alberta","Central","22-08-2020",0,567
"Alberta","Central","23-08-2020",0,567
"Alberta","Central","24-08-2020",2,569
"Alberta","Central","25-08-2020",1,570
"Alberta","Central","26-08-2020",2,572
"Alberta","Central","27-08-2020",2,574
"Alberta","Central","28-08-2020",2,576
"Alberta","Central","29-08-2020",0,576
"Alberta","Central","30-08-2020",0,576
"Alberta","Central","31-08-2020",12,588
"Alberta","Central","01-09-2020",2,590
"Alberta","Central","02-09-2020",7,597
"Alberta","Central","03-09-2020",10,607
"Alberta","Central","04-09-2020",4,611
"Alberta","Central","05-09-2020",0,611
"Alberta","Central","06-09-2020",0,611
"Alberta","Central","07-09-2020",0,611
"Alberta","Central","08-09-2020",17,628
"Alberta","Central","09-09-2020",0,628
"Alberta","Central","10-09-2020",1,629
"Alberta","Central","11-09-2020",2,631
"Alberta","Central","12-09-2020",0,631
"Alberta","Central","13-09-2020",0,631
"Alberta","Central","14-09-2020",15,646
"Alberta","Central","15-09-2020",2,648
"Alberta","Central","16-09-2020",1,649
"Alberta","Central","17-09-2020",0,649
"Alberta","Central","18-09-2020",1,650
"Alberta","Central","19-09-2020",0,650
"Alberta","Central","20-09-2020",0,650
"Alberta","Central","21-09-2020",6,656
"Alberta","Central","22-09-2020",3,659
"Alberta","Central","23-09-2020",0,659
"Alberta","Central","24-09-2020",2,661
"Alberta","Central","25-09-2020",1,662
"Alberta","Central","26-09-2020",0,662
"Alberta","Central","27-09-2020",0,662
"Alberta","Central","28-09-2020",4,666
"Alberta","Central","29-09-2020",3,669
