"province","date_active","cumulative_cases","cumulative_recovered","cumulative_deaths","active_cases","active_cases_change"
"Alberta","25-01-2020",0,0,0,0,0
"Alberta","26-01-2020",0,0,0,0,0
"Alberta","27-01-2020",0,0,0,0,0
"Alberta","28-01-2020",0,0,0,0,0
"Alberta","29-01-2020",0,0,0,0,0
"Alberta","30-01-2020",0,0,0,0,0
"Alberta","31-01-2020",0,0,0,0,0
"Alberta","01-02-2020",0,0,0,0,0
"Alberta","02-02-2020",0,0,0,0,0
"Alberta","03-02-2020",0,0,0,0,0
"Alberta","04-02-2020",0,0,0,0,0
"Alberta","05-02-2020",0,0,0,0,0
"Alberta","06-02-2020",0,0,0,0,0
"Alberta","07-02-2020",0,0,0,0,0
"Alberta","08-02-2020",0,0,0,0,0
"Alberta","09-02-2020",0,0,0,0,0
"Alberta","10-02-2020",0,0,0,0,0
"Alberta","11-02-2020",0,0,0,0,0
"Alberta","12-02-2020",0,0,0,0,0
"Alberta","13-02-2020",0,0,0,0,0
"Alberta","14-02-2020",0,0,0,0,0
"Alberta","15-02-2020",0,0,0,0,0
"Alberta","16-02-2020",0,0,0,0,0
"Alberta","17-02-2020",0,0,0,0,0
"Alberta","18-02-2020",0,0,0,0,0
"Alberta","19-02-2020",0,0,0,0,0
"Alberta","20-02-2020",0,0,0,0,0
"Alberta","21-02-2020",0,0,0,0,0
"Alberta","22-02-2020",0,0,0,0,0
"Alberta","23-02-2020",0,0,0,0,0
"Alberta","24-02-2020",0,0,0,0,0
"Alberta","25-02-2020",0,0,0,0,0
"Alberta","26-02-2020",0,0,0,0,0
"Alberta","27-02-2020",0,0,0,0,0
"Alberta","28-02-2020",0,0,0,0,0
"Alberta","29-02-2020",0,0,0,0,0
"Alberta","01-03-2020",0,0,0,0,0
"Alberta","02-03-2020",0,0,0,0,0
"Alberta","03-03-2020",0,0,0,0,0
"Alberta","04-03-2020",0,0,0,0,0
"Alberta","05-03-2020",1,0,0,1,1
"Alberta","06-03-2020",2,0,0,2,1
"Alberta","07-03-2020",2,0,0,2,0
"Alberta","08-03-2020",4,0,0,4,2
"Alberta","09-03-2020",14,0,0,14,10
"Alberta","10-03-2020",14,0,0,14,0
"Alberta","11-03-2020",19,0,0,19,5
"Alberta","12-03-2020",23,0,0,23,4
"Alberta","13-03-2020",29,0,0,29,6
"Alberta","14-03-2020",39,0,0,39,10
"Alberta","15-03-2020",56,0,0,56,17
"Alberta","16-03-2020",74,0,0,74,18
"Alberta","17-03-2020",97,0,0,97,23
"Alberta","18-03-2020",119,0,0,119,22
"Alberta","19-03-2020",146,2,1,143,24
"Alberta","20-03-2020",195,3,1,191,48
"Alberta","21-03-2020",226,3,1,222,31
"Alberta","22-03-2020",259,3,1,255,33
"Alberta","23-03-2020",301,3,1,297,42
"Alberta","24-03-2020",358,3,2,353,56
"Alberta","25-03-2020",419,3,2,414,61
"Alberta","26-03-2020",486,27,2,457,43
"Alberta","27-03-2020",542,33,2,507,50
"Alberta","28-03-2020",621,53,2,566,59
"Alberta","29-03-2020",661,73,3,585,19
"Alberta","30-03-2020",690,94,8,588,3
"Alberta","31-03-2020",754,120,9,625,37
"Alberta","01-04-2020",871,142,11,718,93
"Alberta","02-04-2020",968,174,13,781,63
"Alberta","03-04-2020",1075,196,18,861,80
"Alberta","04-04-2020",1181,196,20,965,104
"Alberta","05-04-2020",1250,279,23,948,-17
"Alberta","06-04-2020",1348,361,24,963,15
"Alberta","07-04-2020",1373,447,26,900,-63
"Alberta","08-04-2020",1423,519,29,875,-25
"Alberta","09-04-2020",1451,592,32,827,-48
"Alberta","10-04-2020",1500,713,39,748,-79
"Alberta","11-04-2020",1569,774,40,755,7
"Alberta","12-04-2020",1651,823,44,784,29
"Alberta","13-04-2020",1732,877,46,809,25
"Alberta","14-04-2020",1870,914,48,908,99
"Alberta","15-04-2020",1996,914,48,1034,126
"Alberta","16-04-2020",2158,914,50,1194,160
"Alberta","17-04-2020",2397,1124,50,1223,29
"Alberta","18-04-2020",2562,1162,51,1349,126
"Alberta","19-04-2020",2803,1198,55,1550,201
"Alberta","20-04-2020",2908,1230,59,1619,69
"Alberta","21-04-2020",3095,1273,61,1761,142
"Alberta","22-04-2020",3401,1310,66,2025,264
"Alberta","23-04-2020",3720,1357,68,2295,270
"Alberta","24-04-2020",4017,1397,72,2548,253
"Alberta","25-04-2020",4232,1471,73,2688,140
"Alberta","26-04-2020",4475,1549,73,2853,165
"Alberta","27-04-2020",4691,1664,75,2952,99
"Alberta","28-04-2020",4850,1800,80,2970,18
"Alberta","29-04-2020",5165,1953,87,3125,155
"Alberta","30-04-2020",5355,2161,89,3105,-20
"Alberta","01-05-2020",5573,2359,92,3122,17
"Alberta","02-05-2020",5669,2534,94,3041,-81
"Alberta","03-05-2020",5762,2713,95,2954,-87
"Alberta","04-05-2020",5836,2942,104,2790,-164
"Alberta","05-05-2020",5893,3219,106,2568,-222
"Alberta","06-05-2020",5963,3552,112,2299,-269
"Alberta","07-05-2020",6017,3809,114,2094,-205
"Alberta","08-05-2020",6098,4020,115,1963,-131
"Alberta","09-05-2020",6157,4204,116,1837,-126
"Alberta","10-05-2020",6253,4389,117,1747,-90
"Alberta","11-05-2020",6300,4659,117,1524,-223
"Alberta","12-05-2020",6345,4866,118,1361,-163
"Alberta","13-05-2020",6407,5076,120,1211,-150
"Alberta","14-05-2020",6457,5205,121,1131,-80
"Alberta","15-05-2020",6514,5317,125,1072,-59
"Alberta","16-05-2020",6586,5377,126,1083,11
"Alberta","17-05-2020",6643,5453,127,1063,-20
"Alberta","18-05-2020",6682,5519,128,1035,-28
"Alberta","19-05-2020",6715,5584,128,1003,-32
"Alberta","20-05-2020",6734,5637,128,969,-34
"Alberta","21-05-2020",6767,5710,132,925,-44
"Alberta","22-05-2020",6799,5801,134,864,-61
"Alberta","23-05-2020",6817,5869,135,813,-51
"Alberta","24-05-2020",6859,5924,135,800,-13
"Alberta","25-05-2020",6878,5979,138,761,-39
"Alberta","26-05-2020",6900,6048,139,713,-48
"Alberta","27-05-2020",6925,6106,141,678,-35
"Alberta","28-05-2020",6954,6160,143,651,-27
"Alberta","29-05-2020",6978,6220,143,615,-36
"Alberta","30-05-2020",6992,6245,143,604,-11
"Alberta","31-05-2020",7010,6283,143,584,-20
"Alberta","01-06-2020",7044,6501,143,400,-184
"Alberta","02-06-2020",7057,6537,143,377,-23
"Alberta","03-06-2020",7076,6587,145,344,-33
"Alberta","04-06-2020",7091,6611,146,334,-10
"Alberta","05-06-2020",7098,6624,146,328,-6
"Alberta","06-06-2020",7138,6656,146,336,8
"Alberta","07-06-2020",7138,6656,146,336,0
"Alberta","08-06-2020",7202,6698,148,356,20
"Alberta","09-06-2020",7229,6722,149,358,2
"Alberta","10-06-2020",7276,6754,149,373,15
"Alberta","11-06-2020",7316,6788,149,379,6
"Alberta","12-06-2020",7346,6811,149,386,7
"Alberta","13-06-2020",7383,6830,150,403,17
"Alberta","14-06-2020",7433,6861,150,422,19
"Alberta","15-06-2020",7447,6862,151,434,12
"Alberta","16-06-2020",7482,6882,151,449,15
"Alberta","17-06-2020",7530,6893,151,486,37
"Alberta","18-06-2020",7579,6938,152,489,3
"Alberta","19-06-2020",7625,6961,152,512,23
"Alberta","20-06-2020",7673,6996,152,525,13
"Alberta","21-06-2020",7704,7018,152,534,9
"Alberta","22-06-2020",7736,7041,153,542,8
"Alberta","23-06-2020",7781,7096,153,532,-10
"Alberta","24-06-2020",7825,7134,153,538,6
"Alberta","25-06-2020",7851,7191,154,506,-32
"Alberta","26-06-2020",7888,7225,154,509,3
"Alberta","27-06-2020",7957,7283,154,520,11
"Alberta","28-06-2020",7996,7322,154,520,0
"Alberta","29-06-2020",8067,7354,154,559,39
"Alberta","30-06-2020",8108,7405,154,549,-10
"Alberta","01-07-2020",8108,7405,154,549,0
"Alberta","02-07-2020",8202,7505,155,542,-7
"Alberta","03-07-2020",8259,7532,155,572,30
"Alberta","04-07-2020",8259,7532,155,572,0
"Alberta","05-07-2020",8259,7532,155,572,0
"Alberta","06-07-2020",8389,7627,155,607,35
"Alberta","07-07-2020",8436,7659,157,620,13
"Alberta","08-07-2020",8482,7716,158,608,-12
"Alberta","09-07-2020",8519,7774,160,585,-23
"Alberta","10-07-2020",8596,7844,160,592,7
"Alberta","11-07-2020",8596,7844,160,592,0
"Alberta","12-07-2020",8596,7844,160,592,0
"Alberta","13-07-2020",8826,7989,161,676,84
"Alberta","14-07-2020",8912,8048,163,701,25
"Alberta","15-07-2020",8994,8127,163,704,3
"Alberta","16-07-2020",9114,8142,165,807,103
"Alberta","17-07-2020",9219,8193,167,859,52
"Alberta","18-07-2020",9219,8193,167,859,0
"Alberta","19-07-2020",9219,8193,167,859,0
"Alberta","20-07-2020",9587,8308,170,1109,250
"Alberta","21-07-2020",9728,8363,171,1194,85
"Alberta","22-07-2020",9861,8436,173,1252,58
"Alberta","23-07-2020",9973,8506,175,1292,40
"Alberta","24-07-2020",10084,8567,177,1340,48
"Alberta","25-07-2020",10084,8567,177,1340,0
"Alberta","26-07-2020",10084,8567,177,1340,0
"Alberta","27-07-2020",10387,8774,185,1428,88
"Alberta","28-07-2020",10466,8886,187,1393,-35
"Alberta","29-07-2020",10599,8983,190,1426,33
"Alberta","30-07-2020",10712,9113,195,1404,-22
"Alberta","31-07-2020",10839,9261,196,1382,-22
"Alberta","01-08-2020",10839,9261,196,1382,0
"Alberta","02-08-2020",10839,9261,196,1382,0
"Alberta","03-08-2020",10839,9261,196,1382,0
"Alberta","04-08-2020",11144,9754,201,1189,-193
"Alberta","05-08-2020",11238,9891,203,1144,-45
"Alberta","06-08-2020",11294,9984,205,1105,-39
"Alberta","07-08-2020",11430,10097,208,1125,20
"Alberta","08-08-2020",11430,10097,208,1125,0
"Alberta","09-08-2020",11430,10097,208,1125,0
"Alberta","10-08-2020",11687,10384,213,1090,-35
"Alberta","11-08-2020",11772,10552,216,1004,-86
"Alberta","12-08-2020",11893,10632,217,1044,40
"Alberta","13-08-2020",11969,10713,220,1036,-8
"Alberta","14-08-2020",12053,10796,221,1036,0
"Alberta","15-08-2020",12053,10796,221,1036,0
"Alberta","16-08-2020",12053,10796,221,1036,0
"Alberta","17-08-2020",12330,11056,224,1050,14
"Alberta","18-08-2020",12419,11025,225,1169,119
"Alberta","19-08-2020",12501,11167,227,1107,-62
"Alberta","20-08-2020",12604,11292,228,1084,-23
"Alberta","21-08-2020",12748,11374,230,1144,60
"Alberta","22-08-2020",12748,11374,230,1144,0
"Alberta","23-08-2020",12748,11374,230,1144,0
"Alberta","24-08-2020",13006,11600,234,1172,28
"Alberta","25-08-2020",13083,11714,235,1134,-38
"Alberta","26-08-2020",13210,11799,235,1176,42
"Alberta","27-08-2020",13318,11923,237,1158,-18
"Alberta","28-08-2020",13476,12054,237,1185,27
"Alberta","29-08-2020",13476,12054,237,1185,0
"Alberta","30-08-2020",13476,12054,237,1185,0
"Alberta","31-08-2020",13902,12293,239,1370,185
"Alberta","01-09-2020",14066,12427,241,1398,28
"Alberta","02-09-2020",14180,12535,242,1403,5
"Alberta","03-09-2020",14310,12653,242,1415,12
"Alberta","04-09-2020",14474,12799,242,1433,18
"Alberta","05-09-2020",14474,12799,242,1433,0
"Alberta","06-09-2020",14474,12799,242,1433,0
"Alberta","07-09-2020",14474,12799,242,1433,0
"Alberta","08-09-2020",15093,13154,247,1692,259
"Alberta","09-09-2020",15191,13358,248,1585,-107
"Alberta","10-09-2020",15304,13557,253,1494,-91
"Alberta","11-09-2020",15415,13718,253,1444,-50
"Alberta","12-09-2020",15415,13718,253,1444,0
"Alberta","13-09-2020",15415,13718,253,1444,0
"Alberta","14-09-2020",15833,14041,254,1538,94
"Alberta","15-09-2020",15957,14212,254,1491,-47
"Alberta","16-09-2020",16128,14379,254,1495,4
"Alberta","17-09-2020",16274,14537,254,1483,-12
"Alberta","18-09-2020",16381,14702,255,1424,-59
"Alberta","19-09-2020",16381,14702,255,1424,0
"Alberta","20-09-2020",16381,14702,255,1424,0
"Alberta","21-09-2020",16739,15024,256,1459,35
"Alberta","22-09-2020",16889,15066,258,1565,106
"Alberta","23-09-2020",17032,15252,260,1520,-45
"Alberta","24-09-2020",17190,15467,261,1462,-58
"Alberta","25-09-2020",17343,15585,261,1497,35
"Alberta","26-09-2020",17343,15585,261,1497,0
"Alberta","27-09-2020",17343,15585,261,1497,0
"Alberta","28-09-2020",17749,15935,265,1549,52
"Alberta","29-09-2020",17909,16072,266,1571,22
"Alberta","30-09-2020",18062,16213,267,1582,11
"Alberta","01-10-2020",18235,16370,269,1596,14
"Alberta","02-10-2020",18357,16527,272,1558,-38
"Alberta","03-10-2020",18357,16527,272,1558,0
"Alberta","04-10-2020",18357,16527,272,1558,0
"Alberta","05-10-2020",18935,16872,280,1783,225
"Alberta","06-10-2020",19211,17030,281,1900,117
"Alberta","07-10-2020",19354,17163,281,1910,10
"Alberta","08-10-2020",19718,17338,282,2098,188
"Alberta","09-10-2020",19995,17488,282,2225,127
"Alberta","10-10-2020",19995,17488,282,2225,0
"Alberta","11-10-2020",19995,17488,282,2225,0
"Alberta","12-10-2020",19995,17488,282,2225,0
"Alberta","13-10-2020",20956,18055,286,2615,390
"Alberta","14-10-2020",21199,18223,287,2689,74
"Alberta","15-10-2020",21443,18417,288,2738,49
"Alberta","16-10-2020",21775,18651,288,2836,98
"Alberta","17-10-2020",21775,18651,288,2836,0
"Alberta","18-10-2020",21775,18651,288,2836,0
"Alberta","19-10-2020",22673,19243,292,3138,302
"Alberta","20-10-2020",22996,19500,293,3203,65
"BC","25-01-2020",0,0,0,0,0
"BC","26-01-2020",0,0,0,0,0
"BC","27-01-2020",0,0,0,0,0
"BC","28-01-2020",1,0,0,1,1
"BC","29-01-2020",1,0,0,1,0
"BC","30-01-2020",1,0,0,1,0
"BC","31-01-2020",1,0,0,1,0
"BC","01-02-2020",1,0,0,1,0
"BC","02-02-2020",1,0,0,1,0
"BC","03-02-2020",1,0,0,1,0
"BC","04-02-2020",2,0,0,2,1
"BC","05-02-2020",2,0,0,2,0
"BC","06-02-2020",4,0,0,4,2
"BC","07-02-2020",4,0,0,4,0
"BC","08-02-2020",4,0,0,4,0
"BC","09-02-2020",4,0,0,4,0
"BC","10-02-2020",4,0,0,4,0
"BC","11-02-2020",4,0,0,4,0
"BC","12-02-2020",4,0,0,4,0
"BC","13-02-2020",4,0,0,4,0
"BC","14-02-2020",5,0,0,5,1
"BC","15-02-2020",5,0,0,5,0
"BC","16-02-2020",5,0,0,5,0
"BC","17-02-2020",5,0,0,5,0
"BC","18-02-2020",5,0,0,5,0
"BC","19-02-2020",5,1,0,4,-1
"BC","20-02-2020",6,1,0,5,1
"BC","21-02-2020",6,1,0,5,0
"BC","22-02-2020",6,1,0,5,0
"BC","23-02-2020",6,1,0,5,0
"BC","24-02-2020",7,1,0,6,1
"BC","25-02-2020",7,4,0,3,-3
"BC","26-02-2020",7,4,0,3,0
"BC","27-02-2020",7,4,0,3,0
"BC","28-02-2020",7,4,0,3,0
"BC","29-02-2020",8,4,0,4,1
"BC","01-03-2020",8,4,0,4,0
"BC","02-03-2020",8,4,0,4,0
"BC","03-03-2020",12,4,0,8,4
"BC","04-03-2020",13,4,0,9,1
"BC","05-03-2020",21,4,0,17,8
"BC","06-03-2020",21,4,0,17,0
"BC","07-03-2020",27,4,0,23,6
"BC","08-03-2020",27,4,1,22,-1
"BC","09-03-2020",32,4,1,27,5
"BC","10-03-2020",39,4,1,34,7
"BC","11-03-2020",46,4,1,41,7
"BC","12-03-2020",53,4,1,48,7
"BC","13-03-2020",64,5,1,58,10
"BC","14-03-2020",73,5,1,67,9
"BC","15-03-2020",73,5,1,67,0
"BC","16-03-2020",103,5,4,94,27
"BC","17-03-2020",186,5,7,174,80
"BC","18-03-2020",231,5,7,219,45
"BC","19-03-2020",271,5,8,258,39
"BC","20-03-2020",348,6,9,333,75
"BC","21-03-2020",424,6,10,408,75
"BC","22-03-2020",424,6,10,408,0
"BC","23-03-2020",472,100,13,359,-49
"BC","24-03-2020",617,173,13,431,72
"BC","25-03-2020",659,183,14,462,31
"BC","26-03-2020",725,186,14,525,63
"BC","27-03-2020",792,275,16,501,-24
"BC","28-03-2020",884,396,17,471,-30
"BC","29-03-2020",884,396,17,471,0
"BC","30-03-2020",970,469,19,482,11
"BC","31-03-2020",1013,507,24,482,0
"BC","01-04-2020",1066,606,25,435,-47
"BC","02-04-2020",1121,641,31,449,14
"BC","03-04-2020",1174,673,35,466,17
"BC","04-04-2020",1203,704,38,461,-5
"BC","05-04-2020",1203,704,38,461,0
"BC","06-04-2020",1266,783,39,444,-17
"BC","07-04-2020",1291,805,43,443,-1
"BC","08-04-2020",1336,838,48,450,7
"BC","09-04-2020",1370,858,50,462,12
"BC","10-04-2020",1410,879,55,476,14
"BC","11-04-2020",1445,905,58,482,6
"BC","12-04-2020",1445,905,58,482,0
"BC","13-04-2020",1490,926,69,495,13
"BC","14-04-2020",1517,942,72,503,8
"BC","15-04-2020",1561,955,75,531,28
"BC","16-04-2020",1575,966,77,532,1
"BC","17-04-2020",1618,966,78,574,42
"BC","18-04-2020",1647,987,81,579,5
"BC","19-04-2020",1647,987,81,579,0
"BC","20-04-2020",1699,1039,86,574,-5
"BC","21-04-2020",1724,1041,87,596,22
"BC","22-04-2020",1795,1079,90,626,30
"BC","23-04-2020",1824,1092,94,638,12
"BC","24-04-2020",1853,1114,98,641,3
"BC","25-04-2020",1948,1137,100,711,70
"BC","26-04-2020",1948,1137,100,711,0
"BC","27-04-2020",1998,1190,103,705,-6
"BC","28-04-2020",2053,1231,105,717,12
"BC","29-04-2020",2087,1305,109,673,-44
"BC","30-04-2020",2111,1322,111,678,5
"BC","01-05-2020",2144,1357,112,675,-3
"BC","02-05-2020",2170,1376,114,680,5
"BC","03-05-2020",2170,1376,114,680,0
"BC","04-05-2020",2223,1417,117,689,9
"BC","05-05-2020",2231,1472,121,638,-51
"BC","06-05-2020",2254,1494,124,636,-2
"BC","07-05-2020",2285,1512,126,647,11
"BC","08-05-2020",2314,1579,127,608,-39
"BC","09-05-2020",2329,1659,129,541,-67
"BC","10-05-2020",2329,1659,129,541,0
"BC","11-05-2020",2352,1719,130,503,-38
"BC","12-05-2020",2359,1832,131,396,-107
"BC","13-05-2020",2376,1859,132,385,-11
"BC","14-05-2020",2391,1885,135,371,-14
"BC","15-05-2020",2406,1908,140,358,-13
"BC","16-05-2020",2427,1932,141,354,-4
"BC","17-05-2020",2427,1932,141,354,0
"BC","18-05-2020",2443,1966,143,334,-20
"BC","19-05-2020",2445,1975,146,324,-10
"BC","20-05-2020",2466,2001,149,316,-8
"BC","21-05-2020",2478,2020,152,306,-10
"BC","22-05-2020",2506,2042,155,309,3
"BC","23-05-2020",2516,2057,157,302,-7
"BC","24-05-2020",2516,2057,157,302,0
"BC","25-05-2020",2529,2102,161,266,-36
"BC","26-05-2020",2540,2122,161,257,-9
"BC","27-05-2020",2548,2144,162,242,-15
"BC","28-05-2020",2557,2153,164,240,-2
"BC","29-05-2020",2561,2170,164,227,-13
"BC","30-05-2020",2572,2181,164,227,0
"BC","31-05-2020",2572,2181,164,227,0
"BC","01-06-2020",2596,2207,165,224,-3
"BC","02-06-2020",2600,2229,165,206,-18
"BC","03-06-2020",2621,2243,166,212,6
"BC","04-06-2020",2627,2265,166,196,-16
"BC","05-06-2020",2628,2272,167,189,-7
"BC","06-06-2020",2628,2272,167,189,0
"BC","07-06-2020",2628,2272,167,189,0
"BC","08-06-2020",2656,2309,167,180,-9
"BC","09-06-2020",2666,2319,167,180,0
"BC","10-06-2020",2678,2328,167,183,3
"BC","11-06-2020",2692,2344,167,181,-2
"BC","12-06-2020",2708,2354,168,186,5
"BC","13-06-2020",2708,2354,168,186,0
"BC","14-06-2020",2708,2354,168,186,0
"BC","15-06-2020",2744,2395,168,181,-5
"BC","16-06-2020",2755,2416,168,171,-10
"BC","17-06-2020",2774,2422,168,184,13
"BC","18-06-2020",2781,2425,168,188,4
"BC","19-06-2020",2788,2444,168,176,-12
"BC","20-06-2020",2788,2444,168,176,0
"BC","21-06-2020",2788,2444,168,176,0
"BC","22-06-2020",2819,2471,169,179,3
"BC","23-06-2020",2832,2491,170,171,-8
"BC","24-06-2020",2846,2516,171,159,-12
"BC","25-06-2020",2865,2517,173,175,16
"BC","26-06-2020",2875,2545,174,156,-19
"BC","27-06-2020",2875,2545,174,156,0
"BC","28-06-2020",2875,2545,174,156,0
"BC","29-06-2020",2899,2577,174,148,-8
"BC","30-06-2020",2910,2590,174,146,-2
"BC","01-07-2020",2910,2590,174,146,0
"BC","02-07-2020",2934,2603,177,154,8
"BC","03-07-2020",2947,2608,177,162,8
"BC","04-07-2020",2947,2608,177,162,0
"BC","05-07-2020",2947,2608,177,162,0
"BC","06-07-2020",2978,2629,183,166,4
"BC","07-07-2020",2990,2645,183,162,-4
"BC","08-07-2020",3008,2660,186,162,0
"BC","09-07-2020",3028,2667,186,175,13
"BC","10-07-2020",3053,2679,187,187,12
"BC","11-07-2020",3053,2679,187,187,0
"BC","12-07-2020",3053,2679,187,187,0
"BC","13-07-2020",3115,2718,189,208,21
"BC","14-07-2020",3128,2730,189,209,1
"BC","15-07-2020",3149,2753,189,207,-2
"BC","16-07-2020",3170,2789,189,192,-15
"BC","17-07-2020",3197,2802,189,206,14
"BC","18-07-2020",3197,2802,189,206,0
"BC","19-07-2020",3197,2802,189,206,0
"BC","20-07-2020",3296,2858,189,249,43
"BC","21-07-2020",3327,2873,189,265,16
"BC","22-07-2020",3361,2888,189,284,19
"BC","23-07-2020",3391,2898,190,303,19
"BC","24-07-2020",3418,2934,191,293,-10
"BC","25-07-2020",3418,2934,191,293,0
"BC","26-07-2020",3418,2934,191,293,0
"BC","27-07-2020",3498,3043,193,262,-31
"BC","28-07-2020",3521,3076,194,251,-11
"BC","29-07-2020",3562,3109,194,259,8
"BC","30-07-2020",3591,3155,194,242,-17
"BC","31-07-2020",3642,3168,195,279,37
"BC","01-08-2020",3642,3168,195,279,0
"BC","02-08-2020",3642,3168,195,279,0
"BC","03-08-2020",3643,3168,195,280,1
"BC","04-08-2020",3788,3273,195,320,40
"BC","05-08-2020",3834,3288,195,351,31
"BC","06-08-2020",3881,3315,195,371,20
"BC","07-08-2020",3933,3353,195,385,14
"BC","08-08-2020",3933,3353,195,385,0
"BC","09-08-2020",3933,3353,195,385,0
"BC","10-08-2020",4063,3425,195,443,58
"BC","11-08-2020",4108,3444,195,469,26
"BC","12-08-2020",4194,3469,196,529,60
"BC","13-08-2020",4280,3500,196,584,55
"BC","14-08-2020",4355,3533,196,626,42
"BC","15-08-2020",4355,3533,196,626,0
"BC","16-08-2020",4355,3533,196,626,0
"BC","17-08-2020",4594,3653,198,743,117
"BC","18-08-2020",4677,3704,198,775,32
"BC","19-08-2020",4745,3749,198,798,23
"BC","20-08-2020",4825,3845,200,780,-18
"BC","21-08-2020",4914,3889,202,823,43
"BC","22-08-2020",4915,3889,202,824,1
"BC","23-08-2020",4915,3889,202,824,0
"BC","24-08-2020",5185,4068,203,914,90
"BC","25-08-2020",5243,4114,203,926,12
"BC","26-08-2020",5305,4199,203,903,-23
