"province","date_recovered","recovered","cumulative_recovered"
"Alberta","12-02-2020",0,0
"Alberta","13-02-2020",0,0
"Alberta","14-02-2020",0,0
"Alberta","15-02-2020",0,0
"Alberta","16-02-2020",0,0
"Alberta","17-02-2020",0,0
"Alberta","18-02-2020",0,0
"Alberta","19-02-2020",0,0
"Alberta","20-02-2020",0,0
"Alberta","21-02-2020",0,0
"Alberta","22-02-2020",0,0
"Alberta","23-02-2020",0,0
"Alberta","24-02-2020",0,0
"Alberta","25-02-2020",0,0
"Alberta","26-02-2020",0,0
"Alberta","27-02-2020",0,0
"Alberta","28-02-2020",0,0
"Alberta","29-02-2020",0,0
"Alberta","01-03-2020",0,0
"Alberta","02-03-2020",0,0
"Alberta","03-03-2020",0,0
"Alberta","04-03-2020",0,0
"Alberta","05-03-2020",0,0
"Alberta","06-03-2020",0,0
"Alberta","07-03-2020",0,0
"Alberta","08-03-2020",0,0
"Alberta","09-03-2020",0,0
"Alberta","10-03-2020",0,0
"Alberta","11-03-2020",0,0
"Alberta","12-03-2020",0,0
"Alberta","13-03-2020",0,0
"Alberta","14-03-2020",0,0
"Alberta","15-03-2020",0,0
"Alberta","16-03-2020",0,0
"Alberta","17-03-2020",0,0
"Alberta","18-03-2020",0,0
"Alberta","19-03-2020",2,2
"Alberta","20-03-2020",1,3
"Alberta","21-03-2020",0,3
"Alberta","22-03-2020",0,3
"Alberta","23-03-2020",0,3
"Alberta","24-03-2020",0,3
"Alberta","25-03-2020",0,3
"Alberta","26-03-2020",24,27
"Alberta","27-03-2020",6,33
"Alberta","28-03-2020",20,53
"Alberta","29-03-2020",20,73
"Alberta","30-03-2020",21,94
"Alberta","31-03-2020",26,120
"Alberta","01-04-2020",22,142
"Alberta","02-04-2020",32,174
"Alberta","03-04-2020",22,196
"Alberta","04-04-2020",0,196
"Alberta","05-04-2020",83,279
"Alberta","06-04-2020",82,361
"Alberta","07-04-2020",86,447
"Alberta","08-04-2020",72,519
"Alberta","09-04-2020",73,592
"Alberta","10-04-2020",121,713
"Alberta","11-04-2020",61,774
"Alberta","12-04-2020",49,823
"Alberta","13-04-2020",54,877
"Alberta","14-04-2020",37,914
"Alberta","15-04-2020",0,914
"Alberta","16-04-2020",0,914
"Alberta","17-04-2020",210,1124
"Alberta","18-04-2020",38,1162
"Alberta","19-04-2020",36,1198
"Alberta","20-04-2020",32,1230
"Alberta","21-04-2020",43,1273
"Alberta","22-04-2020",37,1310
"Alberta","23-04-2020",47,1357
"Alberta","24-04-2020",40,1397
"Alberta","25-04-2020",74,1471
"Alberta","26-04-2020",78,1549
"Alberta","27-04-2020",115,1664
"Alberta","28-04-2020",136,1800
"Alberta","29-04-2020",153,1953
"Alberta","30-04-2020",208,2161
"Alberta","01-05-2020",198,2359
"Alberta","02-05-2020",175,2534
"Alberta","03-05-2020",179,2713
"Alberta","04-05-2020",229,2942
"Alberta","05-05-2020",277,3219
"Alberta","06-05-2020",333,3552
"Alberta","07-05-2020",257,3809
"Alberta","08-05-2020",211,4020
"Alberta","09-05-2020",184,4204
"Alberta","10-05-2020",185,4389
"Alberta","11-05-2020",270,4659
"Alberta","12-05-2020",207,4866
"Alberta","13-05-2020",210,5076
"Alberta","14-05-2020",129,5205
"Alberta","15-05-2020",112,5317
"Alberta","16-05-2020",60,5377
"Alberta","17-05-2020",76,5453
"Alberta","18-05-2020",66,5519
"Alberta","19-05-2020",65,5584
"Alberta","20-05-2020",53,5637
"Alberta","21-05-2020",73,5710
"Alberta","22-05-2020",91,5801
"Alberta","23-05-2020",68,5869
"Alberta","24-05-2020",55,5924
"Alberta","25-05-2020",55,5979
"Alberta","26-05-2020",69,6048
"Alberta","27-05-2020",58,6106
"Alberta","28-05-2020",54,6160
"Alberta","29-05-2020",60,6220
"Alberta","30-05-2020",25,6245
"Alberta","31-05-2020",38,6283
"Alberta","01-06-2020",218,6501
