"province","date_vaccine_completed","cvaccine","cumulative_cvaccine"
"Alberta","12-01-2021",0,0
"Alberta","13-01-2021",0,0
"Alberta","14-01-2021",0,0
"Alberta","15-01-2021",0,0
"Alberta","16-01-2021",0,0
"Alberta","17-01-2021",0,0
"Alberta","18-01-2021",0,0
"Alberta","19-01-2021",0,0
"Alberta","20-01-2021",0,0
"BC","12-01-2021",0,0
"BC","13-01-2021",0,0
"BC","14-01-2021",0,0
"BC","15-01-2021",0,0
"BC","16-01-2021",0,0
"BC","17-01-2021",0,0
"BC","18-01-2021",0,0
"BC","19-01-2021",0,0
"BC","20-01-2021",0,0
"Manitoba","12-01-2021",0,0
"Manitoba","13-01-2021",1660,1660
"Manitoba","14-01-2021",0,1660
"Manitoba","15-01-2021",478,2138
"Manitoba","16-01-2021",0,2138
"Manitoba","17-01-2021",0,2138
"Manitoba","18-01-2021",6,2144
"Manitoba","19-01-2021",0,2144
"Manitoba","20-01-2021",1,2145
"New Brunswick","12-01-2021",1862,1862
"New Brunswick","13-01-2021",0,1862
"New Brunswick","14-01-2021",0,1862
"New Brunswick","15-01-2021",0,1862
"New Brunswick","16-01-2021",0,1862
"New Brunswick","17-01-2021",0,1862
"New Brunswick","18-01-2021",705,2567
"New Brunswick","19-01-2021",0,2567
"New Brunswick","20-01-2021",0,2567
"NL","12-01-2021",0,0
"NL","13-01-2021",1495,1495
"NL","14-01-2021",0,1495
"NL","15-01-2021",0,1495
"NL","16-01-2021",0,1495
"NL","17-01-2021",0,1495
"NL","18-01-2021",0,1495
"NL","19-01-2021",0,1495
"NL","20-01-2021",242,1737
"Nova Scotia","12-01-2021",1076,1076
"Nova Scotia","13-01-2021",0,1076
"Nova Scotia","14-01-2021",0,1076
"Nova Scotia","15-01-2021",1124,2200
"Nova Scotia","16-01-2021",0,2200
"Nova Scotia","17-01-2021",0,2200
"Nova Scotia","18-01-2021",0,2200
"Nova Scotia","19-01-2021",15,2215
"Nova Scotia","20-01-2021",292,2507
"Nunavut","12-01-2021",0,0
"Nunavut","13-01-2021",0,0
"Nunavut","14-01-2021",0,0
"Nunavut","15-01-2021",0,0
"Nunavut","16-01-2021",0,0
"Nunavut","17-01-2021",0,0
"Nunavut","18-01-2021",0,0
"Nunavut","19-01-2021",0,0
"Nunavut","20-01-2021",0,0
"NWT","12-01-2021",0,0
"NWT","13-01-2021",0,0
"NWT","14-01-2021",0,0
"NWT","15-01-2021",0,0
"NWT","16-01-2021",0,0
"NWT","17-01-2021",0,0
"NWT","18-01-2021",0,0
"NWT","19-01-2021",0,0
"NWT","20-01-2021",0,0
"Ontario","12-01-2021",6064,6064
"Ontario","13-01-2021",2714,8778
"Ontario","14-01-2021",4515,13293
"Ontario","15-01-2021",3801,17094
"Ontario","16-01-2021",2239,19333
"Ontario","17-01-2021",2381,21714
"Ontario","18-01-2021",38,21752
"Ontario","19-01-2021",3857,25609
"Ontario","20-01-2021",6752,32361
"PEI","12-01-2021",1154,1154
"PEI","13-01-2021",0,1154
"PEI","14-01-2021",0,1154
"PEI","15-01-2021",0,1154
"PEI","16-01-2021",0,1154
"PEI","17-01-2021",0,1154
"PEI","18-01-2021",0,1154
"PEI","19-01-2021",253,1407
"PEI","20-01-2021",0,1407
"Quebec","12-01-2021",0,0
"Quebec","13-01-2021",0,0
"Quebec","14-01-2021",0,0
"Quebec","15-01-2021",0,0
"Quebec","16-01-2021",0,0
"Quebec","17-01-2021",0,0
"Quebec","18-01-2021",0,0
"Quebec","19-01-2021",0,0
"Quebec","20-01-2021",0,0
"Saskatchewan","12-01-2021",1449,1449
"Saskatchewan","13-01-2021",0,1449
"Saskatchewan","14-01-2021",303,1752
"Saskatchewan","15-01-2021",0,1752
"Saskatchewan","16-01-2021",0,1752
"Saskatchewan","17-01-2021",0,1752
"Saskatchewan","18-01-2021",0,1752
"Saskatchewan","19-01-2021",428,2180
"Saskatchewan","20-01-2021",412,2592
"Yukon","12-01-2021",0,0
"Yukon","13-01-2021",0,0
"Yukon","14-01-2021",0,0
"Yukon","15-01-2021",0,0
"Yukon","16-01-2021",0,0
"Yukon","17-01-2021",0,0
"Yukon","18-01-2021",0,0
"Yukon","19-01-2021",0,0
"Yukon","20-01-2021",0,0
